,kernel_size,pooling_size,score,0,1,2,3,4,5,6,7,8,9,accuracy,macro avg,weighted avg
0,"(3, 3)","(3, 3)",precision,0.9908443540183113,0.9929390997352162,0.9864077669902913,0.9707602339181286,0.9886714727085479,0.9822222222222222,0.984375,0.9824046920821115,0.9855521155830753,0.9751243781094527,0.984,0.9839301335367356,0.9840243136901486
1,"(3, 3)","(3, 3)",recall,0.9938775510204082,0.9911894273127754,0.9844961240310077,0.9861386138613861,0.9775967413441955,0.9910313901345291,0.9864300626304802,0.9776264591439688,0.9804928131416838,0.9712586719524281,0.984,0.9840137854572862,0.984
2,"(3, 3)","(3, 3)",f1-score,0.9923586347427407,0.9920634920634921,0.98545101842871,0.9783889980353633,0.9831029185867896,0.9866071428571429,0.9854014598540145,0.9800097513408093,0.9830159547092125,0.9731876861966237,0.984,0.9839587056814899,0.9839991040232559
3,"(3, 3)","(3, 3)",support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.984,10000.0,10000.0
4,"(3, 3)","(4, 4)",precision,0.9868287740628167,0.9938271604938271,0.9882926829268293,0.9747081712062257,0.9877800407331976,0.975609756097561,0.9864158829676071,0.9824561403508771,0.9875,0.985985985985986,0.9851,0.9849404594824926,0.9851339417903384
5,"(3, 3)","(4, 4)",recall,0.9938775510204082,0.9929515418502203,0.9815891472868217,0.9920792079207921,0.9877800407331976,0.9865470852017937,0.9853862212943633,0.980544747081712,0.973305954825462,0.9762140733399405,0.9851,0.9850275570554711,0.9851
6,"(3, 3)","(4, 4)",f1-score,0.9903406202338587,0.9933891582194798,0.98492950899368,0.9833169774288518,0.9877800407331976,0.9810479375696767,0.9859007832898171,0.9814995131450828,0.9803516028955533,0.9810756972111553,0.9851,0.9849631839720352,0.9850964952816176
7,"(3, 3)","(4, 4)",support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9851,10000.0,10000.0
8,"(3, 3)","(5, 5)",precision,0.9887179487179487,0.9938162544169611,0.9863813229571985,0.9831849653808111,0.9837728194726166,0.978912319644839,0.9782608695652174,0.9796511627906976,0.9815573770491803,0.9838872104733132,0.984,0.9838142250468783,0.9840176465684386
9,"(3, 3)","(5, 5)",recall,0.9836734693877551,0.9911894273127754,0.9825581395348837,0.9841584158415841,0.9877800407331976,0.9887892376681614,0.9864300626304802,0.9834630350194552,0.9835728952772074,0.9682854311199207,0.984,0.983990015452542,0.984
10,"(3, 3)","(5, 5)",f1-score,0.9861892583120204,0.9925011027790032,0.9844660194174757,0.983671449777338,0.9857723577235773,0.9838259899609592,0.9823284823284824,0.9815533980582525,0.9825641025641025,0.9760239760239761,0.984,0.9838896136945188,0.983996576642382
11,"(3, 3)","(5, 5)",support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.984,10000.0,10000.0
12,"(4, 4)","(3, 3)",precision,0.9938524590163934,0.9938325991189427,0.9816602316602316,0.9850746268656716,0.9848024316109423,0.9863636363636363,0.9844236760124611,0.9805825242718447,0.9825462012320328,0.9763313609467456,0.985,0.9849469747098902,0.9850121553288722
13,"(4, 4)","(3, 3)",recall,0.9897959183673469,0.9938325991189427,0.9854651162790697,0.9801980198019802,0.9898167006109979,0.9730941704035875,0.9895615866388309,0.9824902723735408,0.9825462012320328,0.981169474727453,0.985,0.9847970059553782,0.985
14,"(4, 4)","(3, 3)",f1-score,0.9918200408997955,0.9938325991189427,0.9835589941972921,0.9826302729528535,0.9873031995937024,0.979683972911964,0.986985944820406,0.9815354713313896,0.9825462012320327,0.9787444389520514,0.985,0.9848641136010429,0.9849987082183512
15,"(4, 4)","(3, 3)",support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.985,10000.0,10000.0
16,"(4, 4)","(4, 4)",precision,0.986815415821501,0.9929577464788732,0.9650613786591123,0.9671497584541063,0.9887525562372188,0.991907514450867,0.9873284054910243,0.9787644787644788,0.9782383419689119,0.9848942598187311,0.982,0.9821869856144824,0.9821180211553671
17,"(4, 4)","(4, 4)",recall,0.9928571428571429,0.9938325991189427,0.9903100775193798,0.9910891089108911,0.984725050916497,0.9618834080717489,0.975991649269311,0.9863813229571985,0.9691991786447639,0.9692765113974232,0.982,0.9815546049663298,0.982
18,"(4, 4)","(4, 4)",f1-score,0.9898270600203459,0.9933949801849405,0.9775227164036345,0.9789731051344744,0.9867346938775511,0.9766647694934547,0.9816272965879265,0.9825581395348838,0.9736977823620423,0.977022977022977,0.982,0.981802352062223,0.981992508603004
19,"(4, 4)","(4, 4)",support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.982,10000.0,10000.0
20,"(4, 4)","(5, 5)",precision,0.9887983706720977,0.9938271604938271,0.9825581395348837,0.9774951076320939,0.9876543209876543,0.9842873176206509,0.9843912591050988,0.9834791059280855,0.9925925925925926,0.9631782945736435,0.9838,0.9838261669140627,0.983884255118181
21,"(4, 4)","(5, 5)",recall,0.9908163265306122,0.9929515418502203,0.9825581395348837,0.9891089108910891,0.9775967413441955,0.9831838565022422,0.9874739039665971,0.9844357976653697,0.9630390143737166,0.9851337958374629,0.9838,0.9836298028496391,0.9838
22,"(4, 4)","(5, 5)",f1-score,0.9898063200815495,0.9933891582194798,0.9825581395348837,0.9832677165354331,0.9825997952917093,0.9837352776219853,0.9859301719645649,0.9839572192513371,0.9775924960917145,0.9740323370896621,0.9838,0.983686863168232,0.9838014994024312
23,"(4, 4)","(5, 5)",support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9838,10000.0,10000.0
24,"(5, 5)","(3, 3)",precision,0.9878172588832488,0.9973333333333333,0.9825242718446602,0.9841740850642928,0.9897854954034729,0.9887387387387387,0.9926238145416227,0.9796511627906976,0.9678714859437751,0.982089552238806,0.9853,0.9852609198782648,0.9853589628136611
25,"(5, 5)","(3, 3)",recall,0.9928571428571429,0.9885462555066079,0.9806201550387597,0.9851485148514851,0.9867617107942973,0.984304932735426,0.9832985386221295,0.9834630350194552,0.9897330595482546,0.9781962338949455,0.9853,0.9852929578868503,0.9853
26,"(5, 5)","(3, 3)",f1-score,0.9903307888040713,0.9929203539823008,0.9815712900096992,0.9846610588817417,0.9882712901580826,0.9865168539325843,0.9879391714735186,0.9815533980582525,0.9786802030456854,0.9801390268123138,0.9853,0.985258343515825,0.9853110871497209
27,"(5, 5)","(3, 3)",support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9853,10000.0,10000.0
28,"(5, 5)","(4, 4)",precision,0.9867886178861789,0.9911971830985915,0.9873540856031129,0.9871414441147379,0.9711155378486056,0.9898190045248869,0.9833679833679834,0.9853085210577864,0.9805128205128205,0.9839195979899498,0.9847,0.9846524796004654,0.9847335982712462
29,"(5, 5)","(4, 4)",recall,0.9908163265306122,0.9920704845814978,0.9835271317829457,0.9881188118811881,0.9928716904276986,0.9809417040358744,0.9874739039665971,0.9785992217898832,0.9815195071868583,0.9702675916749257,0.9847,0.9846206373858081,0.9847
30,"(5, 5)","(4, 4)",f1-score,0.9887983706720977,0.9916336415675914,0.9854368932038835,0.9876298861949531,0.9818731117824774,0.9853603603603603,0.9854166666666666,0.981942410932162,0.9810159055926116,0.9770459081836328,0.9847,0.9846153155156439,0.9846959261002434
31,"(5, 5)","(4, 4)",support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.9847,10000.0,10000.0
32,"(5, 5)","(5, 5)",precision,0.9858012170385395,0.9911971830985915,0.9684813753581661,0.983284169124877,0.976,0.9897727272727272,0.9813471502590674,0.9842209072978304,0.9855371900826446,0.9848024316109423,0.983,0.9830444351143386,0.9830481597713989
33,"(5, 5)","(5, 5)",recall,0.9918367346938776,0.9920704845814978,0.9825581395348837,0.9900990099009901,0.9938900203665988,0.976457399103139,0.988517745302714,0.9708171206225681,0.9794661190965093,0.9633300297324083,0.983,0.9829042802935186,0.983
34,"(5, 5)","(5, 5)",f1-score,0.9888097660223805,0.9916336415675914,0.9754689754689755,0.986679822397632,0.9848637739656912,0.9830699774266366,0.9849193967758709,0.9774730656219393,0.9824922760041195,0.9739478957915831,0.983,0.9829358591042421,0.9829859000337965
35,"(5, 5)","(5, 5)",support,980.0,1135.0,1032.0,1010.0,982.0,892.0,958.0,1028.0,974.0,1009.0,0.983,10000.0,10000.0
